1,4,Summer,1900,Tug-Of-War Men's Tug-Of-War,Gold
2,15,Summer,1920,Swimming Men's 200 metres Breaststroke,Bronze
3,15,Summer,1920,Swimming Men's 400 metres Breaststroke,Bronze
4,16,Winter,2014,Ice Hockey Men's Ice Hockey,Bronze
5,17,Summer,1948,Gymnastics Men's Individual All-Around,Bronze
6,17,Summer,1948,Gymnastics Men's Team All-Around,Gold
7,17,Summer,1948,Gymnastics Men's Horse Vault,Gold
8,17,Summer,1948,Gymnastics Men's Pommelled Horse,Gold
9,17,Summer,1952,Gymnastics Men's Team All-Around,Bronze
10,20,Winter,1992,Alpine Skiing Men's Super G,Gold
11,20,Winter,1992,Alpine Skiing Men's Giant Slalom,Bronze
12,20,Winter,1994,Alpine Skiing Men's Downhill,Silver
13,20,Winter,1994,Alpine Skiing Men's Super G,Bronze
14,20,Winter,1994,Alpine Skiing Men's Combined,Silver
15,20,Winter,2002,Alpine Skiing Men's Super G,Gold
16,20,Winter,2002,Alpine Skiing Men's Combined,Gold
17,20,Winter,2006,Alpine Skiing Men's Super G,Gold
18,21,Summer,2008,Handball Women's Handball,Gold
19,25,Summer,1920,"Gymnastics Men's Team All-Around, Free System",Silver
20,29,Summer,1988,Hockey Women's Hockey,Bronze
21,30,Summer,1996,Rowing Men's Lightweight Double Sculls,Silver
22,37,Summer,1996,Football Women's Football,Bronze
23,38,Summer,1920,"Gymnastics Men's Team All-Around, Free System",Silver
24,40,Winter,1952,"Speed Skating Men's 1,500 metres",Bronze
25,40,Winter,1960,"Speed Skating Men's 1,500 metres",Gold
26,42,Summer,1912,Sailing Mixed 8 metres,Gold
27,56,Summer,1956,"Cycling Men's Road Race, Team",Gold
28,62,Summer,2016,Rowing Men's Coxless Pairs,Bronze
29,63,Summer,2008,"Fencing Men's epee, Individual",Bronze
30,65,Summer,2016,Taekwondo Women's Flyweight,Bronze
31,67,Summer,2008,Athletics Women's Javelin Throw,Silver
32,72,Summer,2008,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
33,73,Summer,2008,Handball Men's Handball,Gold
34,73,Summer,2012,Handball Men's Handball,Gold
35,73,Summer,2016,Handball Men's Handball,Silver
36,76,Summer,2000,Football Men's Football,Gold
37,80,Summer,1996,Water Polo Men's Water Polo,Gold
38,84,Summer,2004,"Wrestling Men's Featherweight, Freestyle",Silver
39,85,Summer,1980,Sailing Mixed Two Person Heavyweight Dinghy,Gold
40,86,Summer,1984,"Athletics Men's 1,500 metres",Bronze
41,90,Summer,2004,Cycling Women's Sprint,Silver
42,93,Summer,2008,Handball Men's Handball,Gold
43,99,Summer,1992,"Fencing Men's Sabre, Team",Silver
44,100,Summer,1936,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
45,103,Summer,1936,Modern Pentathlon Men's Individual,Bronze
46,106,Summer,1988,Rowing Men's Quadruple Sculls,Gold
47,106,Summer,1996,Rowing Men's Double Sculls,Gold
48,106,Summer,2000,Rowing Men's Quadruple Sculls,Gold
49,107,Summer,1984,Rowing Men's Coxed Pairs,Gold
50,107,Summer,1988,Rowing Men's Coxed Pairs,Gold
51,107,Summer,1992,Rowing Men's Coxed Pairs,Silver
52,108,Summer,1984,Rowing Men's Coxed Pairs,Gold
53,108,Summer,1988,Rowing Men's Coxed Pairs,Gold
54,108,Summer,1992,Rowing Men's Coxed Pairs,Silver
55,139,Summer,1906,Football Men's Football,Bronze
56,143,Summer,2008,Hockey Men's Hockey,Bronze
57,145,Winter,2014,Figure Skating Mixed Team,Bronze
58,150,Summer,1900,Golf Women's Individual,Gold
59,153,Summer,2008,Softball Women's Softball,Silver
60,165,Summer,2004,Taekwondo Women's Featherweight,Silver
61,250,Summer,2016,"Wrestling Men's Middleweight, Greco-Roman",Bronze
62,259,Summer,1984,Swimming Women's 4 x 100 metres Medley Relay,Bronze
63,297,Summer,1960,Hockey Men's Hockey,Gold
64,298,Summer,1964,Hockey Men's Hockey,Silver
65,316,Summer,1972,"Wrestling Men's Featherweight, Freestyle",Gold
66,337,Summer,2000,Boxing Men's Light-Welterweight,Gold
67,339,Summer,1996,"Wrestling Men's Flyweight, Freestyle",Silver
68,339,Summer,2000,"Wrestling Men's Bantamweight, Freestyle",Gold
69,351,Summer,2000,Basketball Men's Basketball,Gold
70,357,Summer,2008,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
71,359,Summer,1992,Athletics Men's Hammer Throw,Gold
72,367,Winter,1994,Nordic Combined Men's Team,Gold
73,379,Summer,1992,"Athletics Men's 10,000 metres",Bronze
74,385,Summer,1924,Football Men's Football,Silver
75,391,Winter,1924,Ice Hockey Men's Ice Hockey,Silver
76,392,Winter,1952,Ice Hockey Men's Ice Hockey,Gold
77,394,Summer,1972,Gymnastics Women's Team All-Around,Silver
78,395,Summer,2012,Diving Women's Synchronized Springboard,Bronze
79,399,Summer,1920,Sailing Mixed 7 metres,Silver
80,401,Summer,1992,Football Men's Football,Gold
81,404,Summer,1900,Rowing Men's Coxed Eights,Gold
82,404,Summer,1904,Rowing Men's Coxed Eights,Gold
83,411,Summer,2000,Athletics Men's Marathon,Gold
84,416,Summer,1912,Athletics Men's Long Jump,Bronze
85,416,Summer,1912,Athletics Men's Triple Jump,Silver
86,423,Summer,2000,Baseball Men's Baseball,Gold
87,424,Summer,1956,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
88,428,Summer,2008,"Athletics Women's 5,000 metres",Silver
89,443,Summer,1980,"Wrestling Men's Middleweight, Freestyle",Gold
90,454,Summer,1932,Athletics Men's 4 x 400 metres Relay,Gold
91,455,Summer,2012,Gymnastics Men's Floor Exercise,Bronze
92,455,Summer,2012,Gymnastics Men's Horse Vault,Silver
93,455,Summer,2016,Gymnastics Men's Team All-Around,Silver
94,455,Summer,2016,Gymnastics Men's Horse Vault,Silver
95,455,Summer,2016,Gymnastics Men's Rings,Bronze
96,460,Summer,1972,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
97,460,Summer,1972,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
