1,Barcelona,Summer,1992
2,London,Summer,2012
3,Antwerpen,Summer,1920
4,Paris,Summer,1900
5,Calgary,Winter,1988
6,Albertville,Winter,1992
7,Lillehammer,Winter,1994
8,Los Angeles,Summer,1932
9,Salt Lake City,Winter,2002
10,Helsinki,Summer,1952
11,Lake Placid,Winter,1980
12,Sydney,Summer,2000
13,Atlanta,Summer,1996
14,Stockholm,Summer,1912
15,Paris,Summer,1924
16,Sochi,Winter,2014
17,London,Summer,1948
18,Nagano,Winter,1998
19,Torino,Winter,2006
20,Beijing,Summer,2008
21,Rio de Janeiro,Summer,2016
22,Athina,Summer,2004
23,Squaw Valley,Winter,1960
24,Innsbruck,Winter,1964
25,Sarajevo,Winter,1984
26,Los Angeles,Summer,1984
27,Mexico City,Summer,1968
28,Munich,Summer,1972
29,Seoul,Summer,1988
30,Berlin,Summer,1936
31,Oslo,Winter,1952
32,Cortina d'Ampezzo,Winter,1956
33,Melbourne,Summer,1956
34,Roma,Summer,1960
35,Amsterdam,Summer,1928
36,Montreal,Summer,1976
37,Moskva,Summer,1980
38,Tokyo,Summer,1964
39,Vancouver,Winter,2010
40,Grenoble,Winter,1968
41,Athina,Summer,1906
42,Sapporo,Winter,1972
43,Innsbruck,Winter,1976
44,Chamonix,Winter,1924
45,St. Louis,Summer,1904
46,Sankt Moritz,Winter,1928
47,London,Summer,1908
48,Sankt Moritz,Winter,1948
49,Lake Placid,Winter,1932
50,Garmisch-Partenkirchen,Winter,1936
51,Athina,Summer,1896
